x111,y111,x121,y121,x211,y211,x221,y221,x311,y311,x321,y321,,x112,y112,x122,y122,x212,y212,x222,y222,x312,y312,x322,y322,,x113,y113,x123,y123,x213,y213,x223,y223,x313,y313,x323,y323,,x114,y114,x124,y124,x214,y214,x224,y224,x314,y314,x324,y324
"-19,45944","0,5867634","-0,130746","1,136643",,,"-0,1140789","1,14369","-17,83217","0,6281356","-2,76E-02","1,16E+00",,,,"-0,0987448","1,15992","-17,44206","0,669556","-0,1031012","1,063173","-21,82099","0,9366719","-0,04303672","0,999208",,,,"-0,05782219","1,095699","-14,09279","0,4852724","-0,04587158","1,09477","-16,14311","0,5298529","-2,76E-02","1,16E+00",,,,"-0,08294601","1,035486","-16,46643","0,4971647","-0,1014161","1,120785","-16,44233","0,6625318","-0,05343291","1,023603"
"-20,06471","0,6245928","-0,1284022","1,116331",,,"-0,1132608","1,12651","-17,99715","0,6311828","-2,47E-02","1,14E+00",,,,"-0,09586192","1,139019",,,"-0,09967824","1,042635",,,"-0,03940488","0,9798382",,,,"-0,05496051","1,075667","-14,23569","0,4941158","-0,04587158","1,080655",,,"-2,47E-02","1,14E+00",,,,"-0,0822919","1,021095",,,"-0,09889113","1,099477","-16,92523","0,6882864","-0,05173452","1,00577"
,,"-0,1291835","1,095237",,,"-0,1116247","1,109331",,,"-2,41E-02","1,12E+00",,,,"-0,09766372","1,118478",,,"-0,09853724","1,027517",,,"-0,04101903","0,9604684",,,,"-0,05496051","1,053727",,,"-0,03688952","1,04216",,,"-2,41E-02","1,12E+00",,,,"-0,07738608","1,005724",,,"-0,09853399","1,080549","-17,10551","0,6947251","-0,0486208","0,9845405"
,,"-0,1247564","1,07857",,,"-0,1132608","1,089698",,,"-1,77E-02","1,11E+00",,,,"-0,09525087","1,105169",,,"-0,09682575","1,009546",,,"-0,04101903","0,9427127",,,,"-0,05432458","1,041963",,,"-0,03785188","1,020988",,,"-1,77E-02","1,11E+00",,,,"-0,08000251","0,9861003",,,"-0,09781971","1,062335",,,"-0,04663934","0,9712364"
,,"-0,1250168","1,056956",,,"-0,1108066","1,0717",,,"-1,56E-02","1,09E+00",,,,"-0,09161029","1,084943",,,"-0,09511426","0,9918609",,,"-0,03779073","0,9233429",,,,"-0,05273476","1,027654",,,"-0,03624795","1,008157",,,"-1,56E-02","1,09E+00",,,,"-0,07673197","0,9704017",,,"-0,09674829","1,044121",,,"-0,04748854","0,9434961"
,,"-0,1247564","1,038987",,,"-0,1099886","1,052067",,,"-1,33E-02","1,07E+00",,,,"-0,09322832","1,069167",,,"-0,09169127","0,9704673",,,"-0,03698365","0,9051837",,,,"-0,05368865","1,009212",,,"-0,03432322","0,9901928",,,"-1,33E-02","1,07E+00",,,,"-0,07673197","0,9504514",,,"-0,09496258","1,028406",,,"-0,04437482","0,9321735"
,,"-0,1239751","1,02206",,,"-0,1091705","1,03816",,,"-1,10E-02","1,06E+00",,,,"-0,09081688","1,023704",,,"-0,08570104","0,9182667",,,"-0,03496597","0,8906564",,,,"-0,05496051","0,9837753",,,"-0,03368164","0,9731911",,,"-1,10E-02","1,06E+00",,,,"-0,07673197","0,9340986",,,"-0,09496258","1,011978",,,"-0,04550708","0,9146234"
,,"-0,1234543","1,004091",,,"-0,1099886","1,018526",,,"-1,10E-02","1,03E+00",,,,"-0,08577184","0,9696497",,,"-0,08461948","0,9047349",,,"-0,03456243","0,8733042",,,,"-0,0514629","0,9751903",,,"-0,02983219","0,9584349",,,"-1,10E-02","1,03E+00",,,,"-0,07771313","0,9197082",,,"-0,09460544","0,992335",,,"-0,04437482","0,8993379"
,,"-0,1240842","0,9837627",,,"-0,1091705","1,005437",,,"-7,22E-03","1,02E+00",,,,"-0,08685292","0,9433435",,,"-0,08411121","0,8833875",,,"-0,03375535","0,8575663",,,,"-0,05082697","0,9573843",,,"-0,03336086","0,9398292",,,"-7,22E-03","1,02E+00",,,,"-0,07836724","0,9013932",,,"-0,09139116","0,9762637",,,"-0,04409176","0,8843355"
,,"-0,1244322","0,9656659",,,"-0,1091705","0,9882579",,,"-7,51E-03","9,95E-01",,,,"-0,0825286","0,9256858",,,"-0,08665256","0,8686477",,,"-0,03294828","0,8624087",,,,"-0,05050901","0,9392603",,,"-0,03175692","0,9205819",,,"-7,51E-03","9,95E-01",,,,"-0,07902135","0,8843863",,,"-0,09210545","0,9605495",,,"-0,04324256","0,865087"
